system:index,DSM,cell_id,.geo
00000000000000000047,7.8017714891934125,137.0,"{""type"":""Polygon"",""coordinates"":[[[-43.23619422993659,-22.799518379208692],[-43.23613613835204,-22.804031790168622],[-43.23126786911961,-22.80397788379828],[-43.231326113976834,-22.79946447089234],[-43.23619422993659,-22.799518379208692]]]}"
00000000000000000048,11.094752634982019,145.0,"{""type"":""Polygon"",""coordinates"":[[[-43.231326113976834,-22.79946447089234],[-43.23126786911961,-22.80397788379828],[-43.22639964486545,-22.803923734413907],[-43.226458116851234,-22.799410367643855],[-43.231326113976834,-22.79946447089234]]]}"
00000000000000000049,13.152638344568121,154.0,"{""type"":""Polygon"",""coordinates"":[[[-43.226458116851234,-22.799410367643855],[-43.22639964486545,-22.803923734413907],[-43.221526666465245,-22.803869424493275],[-43.22158521795638,-22.799356080465554],[-43.226458116851234,-22.799410367643855]]]}"
0000000000000000004a,28.138644938135204,166.0,"{""type"":""Polygon"",""coordinates"":[[[-43.22158521795638,-22.799356080465554],[-43.221526666465245,-22.803869424493275],[-43.216658458402605,-22.8038151049288],[-43.216717163249456,-22.799301686345938],[-43.22158521795638,-22.799356080465554]]]}"
0000000000000000004b,21.741073446327693,175.0,"{""type"":""Polygon"",""coordinates"":[[[-43.216717163249456,-22.799301686345938],[-43.216658458402605,-22.8038151049288],[-43.211790295846434,-22.8037605423945],[-43.21184915407661,-22.799247194947146],[-43.216717163249456,-22.799301686345938]]]}"
0000000000000000004c,13.704474055494588,184.0,"{""type"":""Polygon"",""coordinates"":[[[-43.21184915407661,-22.799247194947146],[-43.211790295846434,-22.8037605423945],[-43.20691730442082,-22.803705770720114],[-43.206976316067674,-22.799192494240003],[-43.21184915407661,-22.799247194947146]]]}"
0000000000000000004d,12.505621433638211,191.0,"{""type"":""Polygon"",""coordinates"":[[[-43.206976316067674,-22.799192494240003],[-43.20691730442082,-22.803705770720114],[-43.2020491590842,-22.80365096530681],[-43.20210839803371,-22.799137589682264],[-43.206976316067674,-22.799192494240003]]]}"
0000000000000000004e,26.12514045737314,2.0,"{""type"":""Polygon"",""coordinates"":[[[-43.20210839803371,-22.799137589682264],[-43.2020491590842,-22.80365096530681],[-43.19718105978228,-22.803595989787798],[-43.19724037833408,-22.799082637465766],[-43.20210839803371,-22.799137589682264]]]}"
0000000000000000004f,49.54779377146119,6.0,"{""type"":""Polygon"",""coordinates"":[[[-43.19724037833408,-22.799082637465766],[-43.19718105978228,-22.803595989787798],[-43.192312932817536,-22.803540868960635],[-43.19237247874156,-22.799027490448474],[-43.19724037833408,-22.799082637465766]]]}"
00000000000000000050,58.42327010503211,13.0,"{""type"":""Polygon"",""coordinates"":[[[-43.19237247874156,-22.799027490448474],[-43.192312932817536,-22.803540868960635],[-43.187439975791314,-22.803485538205024],[-43.187499675249825,-22.798972230940056],[-43.19237247874156,-22.799027490448474]]]}"
00000000000000000051,36.674819050967024,25.0,"{""type"":""Polygon"",""coordinates"":[[[-43.187499675249825,-22.798972230940056],[-43.187439975791314,-22.803485538205024],[-43.18257194130021,-22.803430077031628],[-43.182631794315,-22.798916768493736],[-43.187499675249825,-22.798972230940056]]]}"
00000000000000000052,18.21197740112994,36.0,"{""type"":""Polygon"",""coordinates"":[[[-43.182631794315,-22.798916768493736],[-43.18257194130021,-22.803430077031628],[-43.17770387965321,-22.80337447059318],[-43.177763886251945,-22.798861233689244],[-43.182631794315,-22.798916768493736]]]}"
00000000000000000053,8.82443643204264,47.0,"{""type"":""Polygon"",""coordinates"":[[[-43.177763886251945,-22.798861233689244],[-43.17770387965321,-22.80337447059318],[-43.17283098705866,-22.803318726478246],[-43.17289114727473,-22.79880548819278],[-43.177763886251945,-22.798861233689244]]]}"
00000000000000000054,22.930999779081464,327.0,"{""type"":""Polygon"",""coordinates"":[[[-43.34814322238746,-22.805231854969648],[-43.34808872204215,-22.809750069845062],[-43.34321511957929,-22.80969946839685],[-43.34326977255686,-22.805181322250505],[-43.34814322238746,-22.805231854969648]]]}"
00000000000000000055,16.950100126177805,329.0,"{""type"":""Polygon"",""coordinates"":[[[-43.34326977255686,-22.805181322250505],[-43.34321511957929,-22.80969946839685],[-43.338346418884136,-22.80964880152953],[-43.33840122451649,-22.80513065171943],[-43.34326977255686,-22.805181322250505]]]}"
00000000000000000056,11.113816953918382,332.0,"{""type"":""Polygon"",""coordinates"":[[[-43.33840122451649,-22.80513065171943],[-43.338346418884136,-22.80964880152953],[-43.33347775929278,-22.809597964012703],[-43.33353271760773,-22.805079810606184],[-43.33840122451649,-22.80513065171943]]]}"
00000000000000000057,6.963110461652311,334.0,"{""type"":""Polygon"",""coordinates"":[[[-43.33353271760773,-22.805079810606184],[-43.33347775929278,-22.809597964012703],[-43.328604278245386,-22.809546922465977],[-43.3286593892761,-22.805028765285897],[-43.33353271760773,-22.805079810606184]]]}"
00000000000000000058,6.151656298453868,338.0,"{""type"":""Polygon"",""coordinates"":[[[-43.3286593892761,-22.805028765285897],[-43.328604278245386,-22.809546922465977],[-43.32373562724471,-22.809495768320758],[-43.32379089101373,-22.804977680399503],[-43.3286593892761,-22.805028765285897]]]}"
00000000000000000059,7.084688529734816,343.0,"{""type"":""Polygon"",""coordinates"":[[[-43.32379089101373,-22.804977680399503],[-43.32373562724471,-22.809495768320758],[-43.318866944183156,-22.809444468404838],[-43.31892236071837,-22.804926377085597],[-43.32379089101373,-22.804977680399503]]]}"
